summary,lunarMonth,lunarDay
上弦日,07,08
四天王巡行,07,08
十斋日,07,08
四天王巡行,07,14
十斋日,07,14
望,07,15
十斋日,07,15
十斋日,07,18
下弦日,07,22
下弦日,07,23
四天王巡行,07,23
十斋日,07,23
十斋日,07,24
月晦,07,25
斗降,07,27
人神在阴,07,28
十斋日,07,28
四天王巡行,07,29
十斋日,07,29
朔,08,01
十斋日,08,01
斗降,08,03
雷斋日,08,06
上弦日,08,08
四天王巡行,08,08
十斋日,08,08
四天王巡行,08,14
十斋日,08,14
望,08,15
十斋日,08,15
十斋日,08,18
下弦日,08,22
下弦日,08,23
四天王巡行,08,23
十斋日,08,23
十斋日,08,24
月晦,08,25
斗降,08,27
人神在阴,08,28
十斋日,08,28
四天王巡行,08,29
十斋日,08,29
朔,09,01
十斋日,09,01
斗降,09,03
雷斋日,09,06
上弦日,09,08
四天王巡行,09,08
十斋日,09,08
四天王巡行,09,14
十斋日,09,14
望,09,15
十斋日,09,15
十斋日,09,18
下弦日,09,22
下弦日,09,23
四天王巡行,09,23
十斋日,09,23
十斋日,09,24
月晦,09,25
斗降,09,27
人神在阴,09,28
十斋日,09,28
四天王巡行,09,29
十斋日,09,29
朔,10,01
十斋日,10,01
斗降,10,03
雷斋日,10,06
上弦日,10,08
四天王巡行,10,08
十斋日,10,08
四天王巡行,10,14
十斋日,10,14
望,10,15
十斋日,10,15
十斋日,10,18
下弦日,10,22
下弦日,10,23
四天王巡行,10,23
十斋日,10,23
十斋日,10,24
月晦,10,25
斗降,10,27
人神在阴,10,28
十斋日,10,28
四天王巡行,10,29
十斋日,10,29
朔,11,01
十斋日,11,01
斗降,11,03
雷斋日,11,06
上弦日,11,08
四天王巡行,11,08
十斋日,11,08
四天王巡行,11,14
十斋日,11,14
望,11,15
十斋日,11,15
十斋日,11,18
下弦日,11,22
下弦日,11,23
四天王巡行,11,23
十斋日,11,23
十斋日,11,24
月晦,11,25
斗降,11,27
人神在阴,11,28
十斋日,11,28
四天王巡行,11,29
十斋日,11,29
朔,12,01
十斋日,12,01
斗降,12,03
雷斋日,12,06
上弦日,12,08
四天王巡行,12,08
十斋日,12,08
四天王巡行,12,14
十斋日,12,14
望,12,15
十斋日,12,15
十斋日,12,18
下弦日,12,22
下弦日,12,23
四天王巡行,12,23
十斋日,12,23
十斋日,12,24
月晦,12,25
斗降,12,27
人神在阴,12,28
十斋日,12,28
四天王巡行,12,29
十斋日,12,29
四天王巡行,01,15
四天王巡行,02,15
四天王巡行,03,15
四天王巡行,04,15
四天王巡行,05,15
四天王巡行,06,15
四天王巡行,07,15
四天王巡行,08,15
四天王巡行,09,15
四天王巡行,10,15
四天王巡行,11,15
四天王巡行,12,15
三元降,1,14
三元降,1,15
三元降,1,16
太乙救苦天尊诞,11,11
太素三元君朝真,12,12
彌勒菩薩聖誕,1,1
天腊,1,1
万神都会,1,3
五虚忌,1,5
定光古佛聖誕,1,6
六耗忌,1,6
上会日,1,7
五殿阎罗诞,1,8
观音斋,1,8
玉皇大帝诞,1,9
上元神会,1,15
三尸神奏事,1,23
善恶童子降,4,8
九殿平等王诞,4,8
天地仓开日,1,25
夜子时为天地交泰,5,14
天地元气造化万物,5,16
金粟如来诞,6,10
魁星诞,7,7
地官校籍,7,8
南斗诞,9,1
玄天上帝飞升,9,9
佛涅槃日大忌色欲,10,8
北极紫薇大帝降,10,27
净宗初祖慧远法师圆寂日,8,6
净宗二祖善导法师圆寂日,11,17
净宗七祖省常法师圆寂日,1,12
净宗八祖莲池法师圆寂日,7,2
净宗九祖澫益法师圆寂日,1,21
净宗十三祖印光法师圆寂日,11,4
